El B-Claim
hirsutismo I-Claim
facial I-Claim
es I-Claim
uno I-Claim
de I-Claim
los I-Claim
rasgos I-Claim
característicos I-Claim
del I-Claim
síndrome I-Claim
del I-Claim
ovario I-Claim
poliquístico I-Claim
(SOP I-Claim
), I-Claim
y I-Claim
esto I-Claim
puede I-Claim
conducir I-Claim
a I-Claim
altos I-Claim
niveles I-Claim
de I-Claim
depresión I-Claim
y I-Claim
ansiedad. I-Claim

Evaluar O
el O
impacto O
del O
tratamiento O
con O
láser O
en O
la O
gravedad O
del O
hirsutismo O
facial O
y O
en O
la O
morbilidad O
psicológica O
en O
mujeres O
con O
SOP. O

Se O
realizó O
un O
ensayo O
aleatorizado O
controlado O
de O
cinco O
tratamientos O
de O
alto O
rendimiento O
(intervención) O
frente O
a O
cinco O
tratamientos O
de O
bajo O
rendimiento O
(control) O
durante O
6 O
meses O
en O
un O
hospital O
docente O
del O
Servicio O
Nacional O
de O
Salud. O

Los O
sujetos O
fueron O
88 O
mujeres O
con O
hirsutismo O
facial O
debido O
al O
SOP O
reclutado O
en O
ambulatorios O
hospitalarios O
y O
un O
grupo O
de O
apoyo O
a O
pacientes O
en O
2001-2002. O

Los O
principales O
resultados O
fueron O
severidad O
auto-reportada O
del O
vello O
facial O
(medida O
en O
una O
escala O
de O
1-10 O
), O
depresión, O
ansiedad O
(medida O
en O
la O
Escala O
Hospitalaria O
de O
Ansiedad O
y O
Depresión O
) O
y O
calidad O
de O
vida O
(medida O
en O
la O
WHOQOL-BREF O
). O

La B-Premise
severidad I-Premise
auto-reportada I-Premise
del I-Premise
vello I-Premise
facial I-Premise
en I-Premise
el I-Premise
grupo I-Premise
de I-Premise
intervención I-Premise
( I-Premise
n I-Premise
= I-Premise
51 I-Premise
) I-Premise
disminuyó I-Premise
de I-Premise
7,3 I-Premise
a I-Premise
3,6 I-Premise
durante I-Premise
el I-Premise
periodo I-Premise
de I-Premise
estudio I-Premise
de I-Premise
6 I-Premise
meses I-Premise
; I-Premise
para I-Premise
el I-Premise
grupo I-Premise
control I-Premise
( I-Premise
n I-Premise
= I-Premise
37 I-Premise
) I-Premise
las I-Premise
puntuaciones I-Premise
correspondientes I-Premise
fueron I-Premise
7,1 I-Premise
y I-Premise
6,1. I-Premise

El B-Premise
cambio I-Premise
fue I-Premise
significativamente I-Premise
mayor I-Premise
en I-Premise
el I-Premise
grupo I-Premise
de I-Premise
intervención I-Premise
[ I-Premise
ancova I-Premise
F I-Premise
( I-Premise
( I-Premise
1,83 I-Premise
) I-Premise
) I-Premise
= I-Premise
24,5, I-Premise
P I-Premise
< I-Premise
0,05 I-Premise
]. I-Premise

El B-Premise
tiempo I-Premise
dedicado I-Premise
a I-Premise
la I-Premise
depilación I-Premise
disminuyó I-Premise
de I-Premise
112 I-Premise
a I-Premise
21 I-Premise
minutos I-Premise
por I-Premise
semana I-Premise
en I-Premise
el I-Premise
grupo I-Premise
de I-Premise
intervención I-Premise
y I-Premise
de I-Premise
92 I-Premise
a I-Premise
56 I-Premise
minutos I-Premise
en I-Premise
el I-Premise
grupo I-Premise
de I-Premise
control I-Premise
[ I-Premise
F I-Premise
( I-Premise
( I-Premise
1,80 I-Premise
) I-Premise
) I-Premise
= I-Premise
10,2, I-Premise
P I-Premise
< I-Premise
/= I-Premise
0,05 I-Premise
]. I-Premise

Las B-Premise
puntuaciones I-Premise
medias I-Premise
de I-Premise
depresión I-Premise
disminuyeron I-Premise
de I-Premise
6,7 I-Premise
a I-Premise
3,6 I-Premise
en I-Premise
el I-Premise
grupo I-Premise
de I-Premise
intervención, I-Premise
frente I-Premise
a I-Premise
6,1 I-Premise
a I-Premise
5,4 I-Premise
en I-Premise
el I-Premise
grupo I-Premise
control I-Premise
[ I-Premise
F I-Premise
( I-Premise
( I-Premise
1,83 I-Premise
) I-Premise
) I-Premise
= I-Premise
14,7, I-Premise
P I-Premise
< I-Premise
0,05 I-Premise
]. I-Premise

Se B-Premise
observó I-Premise
un I-Premise
cambio I-Premise
similar I-Premise
en I-Premise
las I-Premise
puntuaciones I-Premise
medias I-Premise
de I-Premise
ansiedad: I-Premise
intervención I-Premise
11,1 I-Premise
a I-Premise
8,2, I-Premise
control I-Premise
9,6 I-Premise
a I-Premise
9,3 I-Premise
[ I-Premise
F I-Premise
( I-Premise
( I-Premise
1,84 I-Premise
) I-Premise
) I-Premise
= I-Premise
17,8, I-Premise
P I-Premise
< I-Premise
0,05 I-Premise
]. I-Premise

La B-Premise
calidad I-Premise
de I-Premise
vida I-Premise
psicológica I-Premise
también I-Premise
mejoró I-Premise
más I-Premise
en I-Premise
el I-Premise
grupo I-Premise
de I-Premise
intervención, I-Premise
de I-Premise
49,6 I-Premise
a I-Premise
61,2 I-Premise
vs. I-Premise
50,1 I-Premise
a I-Premise
51,5 I-Premise
en I-Premise
el I-Premise
grupo I-Premise
de I-Premise
control I-Premise
[ I-Premise
F I-Premise
( I-Premise
( I-Premise
1,84 I-Premise
) I-Premise
) I-Premise
= I-Premise
10,9, I-Premise
P I-Premise
< I-Premise
0,05 I-Premise
]. I-Premise

El B-Claim
tratamiento I-Claim
con I-Claim
láser I-Claim
parecía I-Claim
reducir I-Claim
la I-Claim
gravedad I-Claim
del I-Claim
vello I-Claim
facial I-Claim
y I-Claim
el I-Claim
tiempo I-Claim
dedicado I-Claim
a I-Claim
la I-Claim
depilación, I-Claim
así I-Claim
como I-Claim
aliviar I-Claim
la I-Claim
depresión I-Claim
y I-Claim
la I-Claim
ansiedad I-Claim
en I-Claim
las I-Claim
mujeres I-Claim
con I-Claim
SOP. I-Claim

Estos B-Claim
hallazgos I-Claim
sugieren I-Claim
que I-Claim
las I-Claim
maneras I-Claim
de I-Claim
hacer I-Claim
este I-Claim
método I-Claim
de I-Claim
depilación I-Claim
más I-Claim
ampliamente I-Claim
disponible I-Claim
para I-Claim
las I-Claim
mujeres I-Claim
con I-Claim
hirsutismo I-Claim
facial I-Claim
deben I-Claim
ser I-Claim
consideradas. I-Claim

A B-Claim
pesar I-Claim
de I-Claim
una I-Claim
mejora I-Claim
considerable I-Claim
en I-Claim
el I-Claim
tratamiento I-Claim
del I-Claim
cáncer I-Claim
de I-Claim
ovario I-Claim
avanzado, I-Claim
la I-Claim
optimización I-Claim
de I-Claim
la I-Claim
eficacia I-Claim
y I-Claim
la I-Claim
tolerabilidad I-Claim
sigue I-Claim
siendo I-Claim
un I-Claim
tema I-Claim
importante. I-Claim

Por O
lo O
tanto, O
se O
realizó O
un O
ensayo O
aleatorizado, O
fase O
III O
de O
no O
inferioridad O
en O
el O
que O
se O
comparó O
paclitaxel O
más O
cisplatino O
( O
PT O
) O
con O
paclitaxel O
más O
carboplatino O
( O
TC O
) O
en O
pacientes O
con O
cáncer O
de O
ovario O
avanzado. O

Un O
total O
de O
798 O
pacientes O
con O
la O
Federación O
Internacional O
de O
Ginecología O
y O
Obstetricia O
en O
estadio O
IIB-IV O
fueron O
asignados O
aleatoriamente O
para O
recibir O
seis O
ciclos O
de O
PT O
o O
TC O
a O
intervalos O
de O
3 O
semanas. O

La O
variable O
principal O
de O
valoración O
fue O
la O
proporción O
de O
pacientes O
sin O
progresión O
a O
los O
2 O
años. O

Las O
variables O
secundarias O
incluyeron O
toxicidad, O
respuesta O
al O
tratamiento, O
calidad O
de O
vida O
y O
tiempo O
de O
supervivencia O
global O
y O
libre O
de O
progresión. O

La O
calidad O
de O
vida O
se O
evaluó O
utilizando O
el O
cuestionario O
de O
calidad O
de O
vida O
de O
la O
Organización O
Europea O
para O
la O
Investigación O
y O
el O
Tratamiento O
del O
Cáncer O
( O
QLQ O
) O
-C30, O
versión O
2.0. O

Las O
curvas O
de O
supervivencia O
se O
calcularon O
utilizando O
el O
método O
Kaplan-Meier, O
y O
las O
razones O
de O
riesgo O
se O
estimaron O
utilizando O
el O
modelo O
de O
riesgos O
proporcionales O
de O
Cox. O

La B-Premise
proporción I-Premise
de I-Premise
pacientes I-Premise
sin I-Premise
progresión I-Premise
a I-Premise
los I-Premise
2 I-Premise
años I-Premise
no I-Premise
fue I-Premise
estadísticamente I-Premise
significativamente I-Premise
diferente I-Premise
entre I-Premise
los I-Premise
dos I-Premise
grupos I-Premise
de I-Premise
tratamiento I-Premise
( I-Premise
40,0 I-Premise
% I-Premise
para I-Premise
PT I-Premise
frente I-Premise
a I-Premise
37,5 I-Premise
% I-Premise
para I-Premise
TC, I-Premise
diferencia I-Premise
= I-Premise
2,5 I-Premise
%, I-Premise
intervalo I-Premise
de I-Premise
confianza I-Premise
de I-Premise
un I-Premise
solo I-Premise
lado I-Premise
95 I-Premise
% I-Premise
[ I-Premise
IC I-Premise
] I-Premise
= I-Premise
- I-Premise
infinito I-Premise
a I-Premise
8,2 I-Premise
% I-Premise
). I-Premise

La B-Premise
mediana I-Premise
del I-Premise
tiempo I-Premise
de I-Premise
supervivencia I-Premise
libre I-Premise
de I-Premise
progresión I-Premise
en I-Premise
el I-Premise
brazo I-Premise
TC I-Premise
( I-Premise
17,2 I-Premise
meses, I-Premise
IC I-Premise
95 I-Premise
% I-Premise
= I-Premise
15,2 I-Premise
a I-Premise
19,3 I-Premise
meses I-Premise
) I-Premise
y I-Premise
en I-Premise
el I-Premise
brazo I-Premise
PT I-Premise
( I-Premise
19,1 I-Premise
meses, I-Premise
IC I-Premise
95 I-Premise
% I-Premise
= I-Premise
16,7 I-Premise
a I-Premise
21,5 I-Premise
meses I-Premise
) I-Premise
tampoco I-Premise
fueron I-Premise
estadísticamente I-Premise
diferentes I-Premise
; I-Premise
lo B-Premise
mismo I-Premise
ocurrió I-Premise
con I-Premise
la I-Premise
mediana I-Premise
del I-Premise
tiempo I-Premise
