El	B-Claim	HighQuality
hirsutismo	I-Claim	HighQuality
facial	I-Claim	HighQuality
es	I-Claim	HighQuality
uno	I-Claim	HighQuality
de	I-Claim	HighQuality
los	I-Claim	HighQuality
rasgos	I-Claim	HighQuality
característicos	I-Claim	HighQuality
del	I-Claim	HighQuality
síndrome	I-Claim	HighQuality
del	I-Claim	HighQuality
ovario	I-Claim	HighQuality
poliquístico	I-Claim	HighQuality
(SOP	I-Claim	HighQuality
),	I-Claim	HighQuality
y	I-Claim	HighQuality
esto	I-Claim	HighQuality
puede	I-Claim	HighQuality
conducir	I-Claim	HighQuality
a	I-Claim	HighQuality
altos	I-Claim	HighQuality
niveles	I-Claim	HighQuality
de	I-Claim	HighQuality
depresión	I-Claim	HighQuality
y	I-Claim	HighQuality
ansiedad.	I-Claim	HighQuality

Evaluar	O	-
el	O	-
impacto	O	-
del	O	-
tratamiento	O	-
con	O	-
láser	O	-
en	O	-
la	O	-
gravedad	O	-
del	O	-
hirsutismo	O	-
facial	O	-
y	O	-
en	O	-
la	O	-
morbilidad	O	-
psicológica	O	-
en	O	-
mujeres	O	-
con	O	-
SOP.	O	-

Se	O	-
realizó	O	-
un	O	-
ensayo	O	-
aleatorizado	O	-
controlado	O	-
de	O	-
cinco	O	-
tratamientos	O	-
de	O	-
alto	O	-
rendimiento	O	-
(intervención)	O	-
frente	O	-
a	O	-
cinco	O	-
tratamientos	O	-
de	O	-
bajo	O	-
rendimiento	O	-
(control)	O	-
durante	O	-
6	O	-
meses	O	-
en	O	-
un	O	-
hospital	O	-
docente	O	-
del	O	-
Servicio	O	-
Nacional	O	-
de	O	-
Salud.	O	-

Los	O	-
sujetos	O	-
fueron	O	-
88	O	-
mujeres	O	-
con	O	-
hirsutismo	O	-
facial	O	-
debido	O	-
al	O	-
SOP	O	-
reclutado	O	-
en	O	-
ambulatorios	O	-
hospitalarios	O	-
y	O	-
un	O	-
grupo	O	-
de	O	-
apoyo	O	-
a	O	-
pacientes	O	-
en	O	-
2001-2002.	O	-

Los	O	-
principales	O	-
resultados	O	-
fueron	O	-
severidad	O	-
auto-reportada	O	-
del	O	-
vello	O	-
facial	O	-
(medida	O	-
en	O	-
una	O	-
escala	O	-
de	O	-
1-10	O	-
),	O	-
depresión,	O	-
ansiedad	O	-
(medida	O	-
en	O	-
la	O	-
Escala	O	-
Hospitalaria	O	-
de	O	-
Ansiedad	O	-
y	O	-
Depresión	O	-
)	O	-
y	O	-
calidad	O	-
de	O	-
vida	O	-
(medida	O	-
en	O	-
la	O	-
WHOQOL-BREF	O	-
).	O	-

La	B-Premise	HighQuality
severidad	I-Premise	HighQuality
auto-reportada	I-Premise	HighQuality
del	I-Premise	HighQuality
vello	I-Premise	HighQuality
facial	I-Premise	HighQuality
en	I-Premise	HighQuality
el	I-Premise	HighQuality
grupo	I-Premise	HighQuality
de	I-Premise	HighQuality
intervención	I-Premise	HighQuality
(	I-Premise	HighQuality
n	I-Premise	HighQuality
=	I-Premise	HighQuality
51	I-Premise	HighQuality
)	I-Premise	HighQuality
disminuyó	I-Premise	HighQuality
de	I-Premise	HighQuality
7,3	I-Premise	HighQuality
a	I-Premise	HighQuality
3,6	I-Premise	HighQuality
durante	I-Premise	HighQuality
el	I-Premise	HighQuality
periodo	I-Premise	HighQuality
de	I-Premise	HighQuality
estudio	I-Premise	HighQuality
de	I-Premise	HighQuality
6	I-Premise	HighQuality
meses	I-Premise	HighQuality
;	I-Premise	HighQuality
para	I-Premise	HighQuality
el	I-Premise	HighQuality
grupo	I-Premise	HighQuality
control	I-Premise	HighQuality
(	I-Premise	HighQuality
n	I-Premise	HighQuality
=	I-Premise	HighQuality
37	I-Premise	HighQuality
)	I-Premise	HighQuality
las	I-Premise	HighQuality
puntuaciones	I-Premise	HighQuality
correspondientes	I-Premise	HighQuality
fueron	I-Premise	HighQuality
7,1	I-Premise	HighQuality
y	I-Premise	HighQuality
6,1.	I-Premise	HighQuality

El	B-Premise	HighQuality
cambio	I-Premise	HighQuality
fue	I-Premise	HighQuality
significativamente	I-Premise	HighQuality
mayor	I-Premise	HighQuality
en	I-Premise	HighQuality
el	I-Premise	HighQuality
grupo	I-Premise	HighQuality
de	I-Premise	HighQuality
intervención	I-Premise	HighQuality
[	I-Premise	HighQuality
ancova	I-Premise	HighQuality
F	I-Premise	HighQuality
(	I-Premise	HighQuality
(	I-Premise	HighQuality
1,83	I-Premise	HighQuality
)	I-Premise	HighQuality
)	I-Premise	HighQuality
=	I-Premise	HighQuality
24,5,	I-Premise	HighQuality
P	I-Premise	HighQuality
<	I-Premise	HighQuality
0,05	I-Premise	HighQuality
].	I-Premise	HighQuality

El	B-Premise	HighQuality
tiempo	I-Premise	HighQuality
dedicado	I-Premise	HighQuality
a	I-Premise	HighQuality
la	I-Premise	HighQuality
depilación	I-Premise	HighQuality
disminuyó	I-Premise	HighQuality
de	I-Premise	HighQuality
112	I-Premise	HighQuality
a	I-Premise	HighQuality
21	I-Premise	HighQuality
minutos	I-Premise	HighQuality
por	I-Premise	HighQuality
semana	I-Premise	HighQuality
en	I-Premise	HighQuality
el	I-Premise	HighQuality
grupo	I-Premise	HighQuality
de	I-Premise	HighQuality
intervención	I-Premise	HighQuality
y	I-Premise	HighQuality
de	I-Premise	HighQuality
92	I-Premise	HighQuality
a	I-Premise	HighQuality
56	I-Premise	HighQuality
minutos	I-Premise	HighQuality
en	I-Premise	HighQuality
el	I-Premise	HighQuality
grupo	I-Premise	HighQuality
de	I-Premise	HighQuality
control	I-Premise	HighQuality
[	I-Premise	HighQuality
F	I-Premise	HighQuality
(	I-Premise	HighQuality
(	I-Premise	HighQuality
1,80	I-Premise	HighQuality
)	I-Premise	HighQuality
)	I-Premise	HighQuality
=	I-Premise	HighQuality
10,2,	I-Premise	HighQuality
P	I-Premise	HighQuality
<	I-Premise	HighQuality
/=	I-Premise	HighQuality
0,05	I-Premise	HighQuality
].	I-Premise	HighQuality

Las	B-Premise	HighQuality
puntuaciones	I-Premise	HighQuality
medias	I-Premise	HighQuality
de	I-Premise	HighQuality
depresión	I-Premise	HighQuality
disminuyeron	I-Premise	HighQuality
de	I-Premise	HighQuality
6,7	I-Premise	HighQuality
a	I-Premise	HighQuality
3,6	I-Premise	HighQuality
en	I-Premise	HighQuality
el	I-Premise	HighQuality
grupo	I-Premise	HighQuality
de	I-Premise	HighQuality
intervención,	I-Premise	HighQuality
frente	I-Premise	HighQuality
a	I-Premise	HighQuality
6,1	I-Premise	HighQuality
a	I-Premise	HighQuality
5,4	I-Premise	HighQuality
en	I-Premise	HighQuality
el	I-Premise	HighQuality
grupo	I-Premise	HighQuality
control	I-Premise	HighQuality
[	I-Premise	HighQuality
F	I-Premise	HighQuality
(	I-Premise	HighQuality
(	I-Premise	HighQuality
1,83	I-Premise	HighQuality
)	I-Premise	HighQuality
)	I-Premise	HighQuality
=	I-Premise	HighQuality
14,7,	I-Premise	HighQuality
P	I-Premise	HighQuality
<	I-Premise	HighQuality
0,05	I-Premise	HighQuality
].	I-Premise	HighQuality

Se	B-Premise	HighQuality
observó	I-Premise	HighQuality
un	I-Premise	HighQuality
cambio	I-Premise	HighQuality
similar	I-Premise	HighQuality
en	I-Premise	HighQuality
las	I-Premise	HighQuality
puntuaciones	I-Premise	HighQuality
