L' B-Claim HighQuality
irsutismo I-Claim HighQuality
facciale I-Claim HighQuality
e'una I-Claim HighQuality
delle I-Claim HighQuality
caratteristiche I-Claim HighQuality
della I-Claim HighQuality
sindrome I-Claim HighQuality
delle I-Claim HighQuality
ovaie I-Claim HighQuality
policistiche I-Claim HighQuality
(PCOS), I-Claim HighQuality
e I-Claim HighQuality
questo I-Claim HighQuality
puo'portare I-Claim HighQuality
ad I-Claim HighQuality
alti I-Claim HighQuality
livelli I-Claim HighQuality
di I-Claim HighQuality
depressione I-Claim HighQuality
e I-Claim HighQuality
ansia. I-Claim HighQuality

Per O -
valutare O -
l' O -
impatto O -
del O -
trattamento O -
laser O -
sulla O -
gravità O -
dell' O -
irsutismo O -
facciale O -
e O -
sulla O -
morbilità O -
psicologica O -
nelle O -
donne O -
con O -
PCOS. O -

Uno O -
studio O -
randomizzato O -
controllato O -
di O -
cinque O -
trattamenti O -
ad O -
alta O -
influenza O -
(intervento) O -
contro O -
cinque O -
trattamenti O -
a O -
bassa O -
influenza O -
(controllo) O -
è O -
stato O -
eseguito O -
per O -
6 O -
mesi O -
in O -
un O -
ospedale O -
didattico O -
del O -
National O -
Health O -
Service. O -

I O -
soggetti O -
erano O -
88 O -
donne O -
con O -
irsutismo O -
facciale O -
dovuto O -
a O -
PCOS O -
reclutate O -
da O -
ambulatori O -
ospedalieri O -
e O -
da O -
un O -
gruppo O -
di O -
supporto O -
al O -
paziente O -
nel O -
2001-2002. O -

Gli O -
esiti O -
principali O -
sono O -
stati O -
la O -
gravità O -
autoreportata O -
dei O -
peli O -
facciali O -
(misurata O -
su O -
una O -
scala O -
da O -
1 O -
a O -
10), O -
la O -
depressione, O -
l' O -
ansia O -
(misurata O -
sulla O -
scala O -
di O -
ansia O -
e O -
depressione O -
ospedaliera) O -
e O -
la O -
qualità O -
della O -
vita O -
(misurata O -
sul O -
WHOQOL-BREF). O -

La B-Premise HighQuality
gravità I-Premise HighQuality
autodichiarata I-Premise HighQuality
dei I-Premise HighQuality
peli I-Premise HighQuality
facciali I-Premise HighQuality
nel I-Premise HighQuality
gruppo I-Premise HighQuality
di I-Premise HighQuality
intervento I-Premise HighQuality
(n I-Premise HighQuality
= I-Premise HighQuality
51 I-Premise HighQuality
) I-Premise HighQuality
è I-Premise HighQuality
scesa I-Premise HighQuality
da I-Premise HighQuality
7,3 I-Premise HighQuality
a I-Premise HighQuality
3,6 I-Premise HighQuality
durante I-Premise HighQuality
il I-Premise HighQuality
periodo I-Premise HighQuality
di I-Premise HighQuality
studio I-Premise HighQuality
di I-Premise HighQuality
6 I-Premise HighQuality
mesi; I-Premise HighQuality
per I-Premise HighQuality
il I-Premise HighQuality
gruppo I-Premise HighQuality
di I-Premise HighQuality
controllo I-Premise HighQuality
(n I-Premise HighQuality
= I-Premise HighQuality
37), I-Premise HighQuality
i I-Premise HighQuality
punteggi I-Premise HighQuality
corrispondenti I-Premise HighQuality
sono I-Premise HighQuality
stati I-Premise HighQuality
7,1 I-Premise HighQuality
e I-Premise HighQuality
6,1. I-Premise HighQuality

La B-Premise HighQuality
variazione I-Premise HighQuality
è I-Premise HighQuality
stata I-Premise HighQuality
significativamente I-Premise HighQuality
maggiore I-Premise HighQuality
nel I-Premise HighQuality
gruppo I-Premise HighQuality
di I-Premise HighQuality
intervento I-Premise HighQuality
[ I-Premise HighQuality
ancova I-Premise HighQuality
F I-Premise HighQuality
( I-Premise HighQuality
(1,83) I-Premise HighQuality
) I-Premise HighQuality
= I-Premise HighQuality
24,5, I-Premise HighQuality
P I-Premise HighQuality
< I-Premise HighQuality
0,05 I-Premise HighQuality
]. I-Premise HighQuality

Il B-Premise HighQuality
tempo I-Premise HighQuality
autoreportato I-Premise HighQuality
dedicato I-Premise HighQuality
alla I-Premise HighQuality
depilazione I-Premise HighQuality
è I-Premise HighQuality
diminuito I-Premise HighQuality
da I-Premise HighQuality
112 I-Premise HighQuality
a I-Premise HighQuality
21 I-Premise HighQuality
minuti I-Premise HighQuality
a I-Premise HighQuality
settimana I-Premise HighQuality
nel I-Premise HighQuality
gruppo I-Premise HighQuality
di I-Premise HighQuality
intervento I-Premise HighQuality
e I-Premise HighQuality
da I-Premise HighQuality
92 I-Premise HighQuality
a I-Premise HighQuality
56 I-Premise HighQuality
minuti I-Premise HighQuality
nel I-Premise HighQuality
gruppo I-Premise HighQuality
di I-Premise HighQuality
controllo I-Premise HighQuality
[ I-Premise HighQuality
F I-Premise HighQuality
( I-Premise HighQuality
(1,80) I-Premise HighQuality
) I-Premise HighQuality
= I-Premise HighQuality
10,2, I-Premise HighQuality
P I-Premise HighQuality
< I-Premise HighQuality
/= I-Premise HighQuality
0,05 I-Premise HighQuality
]. I-Premise HighQuality

I O -
punteggi O -
medi O -
della O -
depressione O -
sono O -
scesi O -
da O -
6,7 O -
a O -
3,6 O -
nel O -
gruppo O -
di O -
intervento, O -
rispetto O -
a O -
6,1 O -
a O -
5,4 O -
nel O -
gruppo O -
di O -
controllo O -
[ O -
F O -
( O -
(1,83 O -
) O -
= O -
14,7, O -
P O -
< O -
0,05 O -
]. O -

Un O -
cambiamento O -
simile O -
è O -
stato O -
osservato O -
per O -
i O -
punteggi O -
medi O -
di O -
ansia: O -
intervento O -
da O -
11,1 O -
a O -
8,2, O -
controllo O -
da O -
9,6 O -
a O -
9,3 O -
[ O -
F O -
( O -
(1,84) O -
) O -
= O -
17,8, O -
P O -
< O -
0,05 O -
]. O -

Anche O -
la O -
qualità O -
psicologica O -
della O -
vita O -
è O -
migliorata O -
maggiormente O -
nel O -
gruppo O -
di O -
intervento, O -
passando O -
da O -
49,6 O -
a O -
61,2 O -
contro O -
50,1 O -
a O -
51,5 O -
nel O -
gruppo O -
di O -
controllo O -
[ O -
F O -
( O -
(1,84) O -
) O -
= O -
10,9, O -
P O -
< O -
0,05 O -
]. O -

Il B-Claim HighQuality
trattamento I-Claim HighQuality
laser I-Claim HighQuality
sembrava I-Claim HighQuality
ridurre I-Claim HighQuality
la I-Claim HighQuality
gravità I-Claim HighQuality
dei I-Claim HighQuality
peli I-Claim HighQuality
del I-Claim HighQuality
viso I-Claim HighQuality
e I-Claim HighQuality
il I-Claim HighQuality
tempo I-Claim HighQuality
impiegato I-Claim HighQuality
per I-Claim HighQuality
la I-Claim HighQuality
depilazione, I-Claim HighQuality
oltre I-Claim HighQuality
ad I-Claim HighQuality
alleviare I-Claim HighQuality
la I-Claim HighQuality
depressione I-Claim HighQuality
e I-Claim HighQuality
l' I-Claim HighQuality
ansia I-Claim HighQuality
nelle I-Claim HighQuality
donne I-Claim HighQuality
con I-Claim HighQuality
PCOS. I-Claim HighQuality

Questi B-Claim HighQuality
risultati I-Claim HighQuality
suggeriscono I-Claim HighQuality
che I-Claim HighQuality
si I-Claim HighQuality
dovrebbero I-Claim HighQuality
prendere I-Claim HighQuality
in I-Claim HighQuality
considerazione I-Claim HighQuality
modi I-Claim HighQuality
per I-Claim HighQuality
rendere I-Claim HighQuality
questo I-Claim HighQuality
metodo I-Claim HighQuality
di I-Claim HighQuality
depilazione I-Claim HighQuality
più I-Claim HighQuality
ampiamente I-Claim HighQuality
accessibile I-Claim HighQuality
alle I-Claim HighQuality
donne I-Claim HighQuality
con I-Claim HighQuality
irsutismo I-Claim HighQuality
facciale. I-Claim HighQuality

Nonostante B-Claim HighQuality
il I-Claim HighQuality
considerevole I-Claim HighQuality
miglioramento I-Claim HighQuality
nel I-Claim HighQuality
trattamento I-Claim HighQuality
del I-Claim HighQuality
cancro I-Claim HighQuality
ovarico I-Claim HighQuality
avanzato, I-Claim HighQuality
l' I-Claim HighQuality
ottimizzazione I-Claim HighQuality
dell' I-Claim HighQuality
efficacia I-Claim HighQuality
e I-Claim HighQuality
della I-Claim HighQuality
tollerabilità I-Claim HighQuality
rimane I-Claim HighQuality
una I-Claim HighQuality
questione I-Claim HighQuality
importante. I-Claim HighQuality

Pertanto, O -
abbiamo O -
condotto O -
uno O -
studio O -
randomizzato O -
di O -
non O -
inferiorità O -
di O -
fase O -
III O -
confrontando O -
paclitaxel O -
più O -
cisplatino O -
(PT) O -
con O -
paclitaxel O -
più O -
carboplatino O -
(TC) O -
in O -
pazienti O -
con O -
carcinoma O -
ovarico O -
avanzato. O -

Un O -
totale O -
di O -
798 O -
pazienti O -
con O -
stadio O -
IIB-IV O -
della O -
Federazione O -
Internazionale O -
di O -
Ginecologia O -
e O -
Ostetricia O -
sono O -
stati O -
assegnati O -
in O -
modo O -
casuale O -
a O -
ricevere O -
sei O -
cicli O -
di O -
PT O -
o O -
TC O -
ad O -
intervalli O -
di O -
3 O -
settimane. O -

L' O -
endpoint O -
primario O -
era O -
la O -
percentuale O -
di O -
pazienti O -
senza O -
progressione O -
a O -
2 O -
anni. O -

Gli O -
endpoint O -
secondari O -
includevano O -
la O -
tossicità, O -
la O -
risposta O -
al O -
trattamento, O -
la O -
qualità O -
della O -
vita O -
e O -
il O -
tempo O -
di O -
sopravvivenza O -
complessivo O -
e O -
privo O -
di O -
progressione. O -

La O -
qualità O -
della O -
vita O -
è O -
stata O -
valutata O -
utilizzando O -
il O -
questionario O -
sulla O -
qualità O -
della O -
vita O -
(QLQ) O -
-C30 O -
dell' O -
Organizzazione O -
europea O -
per O -
la O -
ricerca O -
e O -
il O -
trattamento O -
del O -
cancro, O -
versione O -
2.0. O -

Le O -
curve O -
di O -
sopravvivenza O -
sono O -
state O -
calcolate O -
usando O -
il O -
metodo O -
Kaplan-Meier, O -
e O -
i O -
rapporti O -
di O -
pericolo O -
sono O -
stati O -
stimati O -
usando O -
il O -
modello O -
di O -
pericolo O -
proporzionale O -
di O -
Cox. O -

La O -
percentuale O -
di O -
pazienti O -
senza O -
progressione O -
a O -
2 O -
anni O -
non O -
è O -
stata O -
statisticamente O -
significativamente O -
diversa O -
tra O -
i O -
due O -
bracci O -
di O -
trattamento O -
(40,0% O -
per O -
PT O -
contro O -
37,5% O -
per O -
TC, O -
differenza O -
= O -
2,5%; O -
intervallo O -
di O -
confidenza O -
unilaterale O -
del O -
95% O -
[IC] O -
= O -
- O -
infinito O -
a O -
8,2%). O -

La O -
durata O -
mediana O -
di O -
sopravvivenza O -
libera O -
da O -
progressione O -
nel O -
braccio O -
TC O -
(17,2 O -
mesi, O -
IC O -
al O -
95% O -
= O -
15,2 O -
a O -
19,3 O -
mesi) O -
e O -
nel O -
braccio O -
PT O -
(19,1 O -
mesi, O -
IC O -
al O -
95% O -
= O -
16,7 O -
a O -
21,5 O -
mesi) O -
non O -
era O -
statisticamente O -
significativamente O -
diversa O -
"; O -
" O -
lo O -
stesso O -
era O -
VERO O -
per O -
la O -
durata O -
mediana O -
di O -
sopravvivenza O -
complessiva O -
(43,3 O -
mesi, O -
IC O -
al O -
95% O -
= O -
37,2 O -
a O -
47,8 O -
mesi O -
contro O -
44,1 O -
mesi, O -
IC O -
al O -
95% O -
= O -
40,2 O -
a O -
49,4 O -
mesi, O -
rispettivamente, O -
per O -
il O -
braccio O -
TC O -
e O -
il O -
braccio O -
PT O -

Il O -
regime O -
TC O -
e'stato O -
associato O -
ad O -
una O -
frequenza O -
piu'elevata O -
di O -
tossicita'ematologica, O -
ma O -
ad O -
una O -
frequenza O -
piu'bassa O -
di O -
tossicita'gastrointestinale O -
e O -
neurologica, O -
rispetto O -
al O -
regime O -
PT. O -

I B-Premise HighQuality
punteggi I-Premise HighQuality
medi I-Premise HighQuality
globali I-Premise HighQuality
di I-Premise HighQuality
qualità I-Premise HighQuality
della I-Premise HighQuality
vita I-Premise HighQuality
alla I-Premise HighQuality
fine I-Premise HighQuality
del I-Premise HighQuality
trattamento I-Premise HighQuality
erano I-Premise HighQuality
statisticamente I-Premise HighQuality
significativamente I-Premise HighQuality
migliori I-Premise HighQuality
nel I-Premise HighQuality
braccio I-Premise HighQuality
TC I-Premise HighQuality
rispetto I-Premise HighQuality
al I-Premise HighQuality
braccio I-Premise HighQuality
PT I-Premise HighQuality
(rispettivamente I-Premise HighQuality
65,25 I-Premise HighQuality
contro I-Premise HighQuality
51,97; I-Premise HighQuality
differenza I-Premise HighQuality
= I-Premise HighQuality
-13,28, I-Premise HighQuality
95% I-Premise HighQuality
CI I-Premise HighQuality
= I-Premise HighQuality
-18,88 I-Premise HighQuality
a I-Premise HighQuality
-7,68). I-Premise HighQuality

Il B-Claim HighQuality
regime I-Claim HighQuality
di I-Claim HighQuality
TC I-Claim HighQuality
ha I-Claim HighQuality
ottenuto I-Claim HighQuality
un' I-Claim HighQuality
efficacia I-Claim HighQuality
paragonabile I-Claim HighQuality
al I-Claim HighQuality
regime I-Claim HighQuality
di I-Claim HighQuality
PT, I-Claim HighQuality
ma I-Claim HighQuality
è I-Claim HighQuality
stato I-Claim HighQuality
associato I-Claim HighQuality
a I-Claim HighQuality
una I-Claim HighQuality
migliore I-Claim HighQuality
tollerabilità I-Claim HighQuality
e I-Claim HighQuality
qualità I-Claim HighQuality
della I-Claim HighQuality
vita, I-Claim HighQuality
e I-Claim HighQuality
dovrebbe I-Claim HighQuality
quindi I-Claim HighQuality
essere I-Claim HighQuality
considerato I-Claim HighQuality
come I-Claim HighQuality
un' I-Claim HighQuality
importante I-Claim HighQuality
alternativa I-Claim HighQuality
alla I-Claim HighQuality
chemioterapia I-Claim HighQuality
di I-Claim HighQuality
prima I-Claim HighQuality
linea I-Claim HighQuality
standard I-Claim HighQuality
nei I-Claim HighQuality
pazienti I-Claim HighQuality
con I-Claim HighQuality
carcinoma I-Claim HighQuality
ovarico I-Claim HighQuality
avanzato. I-Claim HighQuality

Lo O -
scopo O -
di O -
questo O -
studio O -
era O -
quello O -
di O -
confrontare O -
