L' B-Claim
irsutismo I-Claim
facciale I-Claim
e'una I-Claim
delle I-Claim
caratteristiche I-Claim
della I-Claim
sindrome I-Claim
delle I-Claim
ovaie I-Claim
policistiche I-Claim
(PCOS), I-Claim
e I-Claim
questo I-Claim
puo'portare I-Claim
ad I-Claim
alti I-Claim
livelli I-Claim
di I-Claim
depressione I-Claim
e I-Claim
ansia. I-Claim

Per O
valutare O
l' O
impatto O
del O
trattamento O
laser O
sulla O
gravità O
dell' O
irsutismo O
facciale O
e O
sulla O
morbilità O
psicologica O
nelle O
donne O
con O
PCOS. O

Uno O
studio O
randomizzato O
controllato O
di O
cinque O
trattamenti O
ad O
alta O
influenza O
(intervento) O
contro O
cinque O
trattamenti O
a O
bassa O
influenza O
(controllo) O
è O
stato O
eseguito O
per O
6 O
mesi O
in O
un O
ospedale O
didattico O
del O
National O
Health O
Service. O

I O
soggetti O
erano O
88 O
donne O
con O
irsutismo O
facciale O
dovuto O
a O
PCOS O
reclutate O
da O
ambulatori O
ospedalieri O
e O
da O
un O
gruppo O
di O
supporto O
al O
paziente O
nel O
2001-2002. O

Gli O
esiti O
principali O
sono O
stati O
la O
gravità O
autoreportata O
dei O
peli O
facciali O
(misurata O
su O
una O
scala O
da O
1 O
a O
10), O
la O
depressione, O
l' O
ansia O
(misurata O
sulla O
scala O
di O
ansia O
e O
depressione O
ospedaliera) O
e O
la O
qualità O
della O
vita O
(misurata O
sul O
WHOQOL-BREF). O

La B-Premise
gravità I-Premise
autodichiarata I-Premise
dei I-Premise
peli I-Premise
facciali I-Premise
nel I-Premise
gruppo I-Premise
di I-Premise
intervento I-Premise
(n I-Premise
= I-Premise
51 I-Premise
) I-Premise
è I-Premise
scesa I-Premise
da I-Premise
7,3 I-Premise
a I-Premise
3,6 I-Premise
durante I-Premise
il I-Premise
periodo I-Premise
di I-Premise
studio I-Premise
di I-Premise
6 I-Premise
mesi; I-Premise
per I-Premise
il I-Premise
gruppo I-Premise
di I-Premise
controllo I-Premise
(n I-Premise
= I-Premise
37), I-Premise
i I-Premise
punteggi I-Premise
corrispondenti I-Premise
sono I-Premise
stati I-Premise
7,1 I-Premise
e I-Premise
6,1. I-Premise

La B-Premise
variazione I-Premise
è I-Premise
stata I-Premise
significativamente I-Premise
maggiore I-Premise
nel I-Premise
gruppo I-Premise
di I-Premise
intervento I-Premise
[ I-Premise
ancova I-Premise
F I-Premise
( I-Premise
(1,83) I-Premise
) I-Premise
