A	B-Claim
combination	I-Claim
of	I-Claim
mitoxantrone	I-Claim
plus	I-Claim
prednisone	I-Claim
is	I-Claim
preferable	I-Claim
to	I-Claim
prednisone	I-Claim
alone	I-Claim
for	I-Claim
reduction	I-Claim
of	I-Claim
pain	I-Claim
in	I-Claim
men	I-Claim
with	I-Claim
metastatic,	I-Claim
hormone-resistant,	I-Claim
prostate	I-Claim
cancer.	I-Claim

The	O
purpose	O
of	O
this	O
study	O
was	O
to	O
assess	O
the	O
effects	O
of	O
these	O
treatments	O
on	O
health-related	O
quality	O
of	O
life	O
(HQL).	O

Men	O
with	O
metastatic	O
prostate	O
cancer	O
(n	O
=	O
161)	O
were	O
randomized	O
to	O
receive	O
either	O
daily	O
prednisone	O
alone	O
or	O
mitoxantrone	O
(every	O
3	O
weeks)	O
plus	O
prednisone.	O

Those	O
who	O
received	O
prednisone	O
alone	O
could	O
have	O
mitoxantrone	O
added	O
after	O
6	O
weeks	O
if	O
there	O
was	O
no	O
improvement	O
in	O
pain.	O

HQL	O
was	O
assessed	O
before	O
treatment	O
initiation	O
and	O
then	O
every	O
3	O
weeks	O
using	O
the	O
European	O
Organization	O
for	O
Research	O
and	O
Treatment	O
of	O
Cancer	O
Quality-of-Life	O
Questionnaire	O
C30	O
(EORTC	O
QLQ-C30)	O
and	O
the	O
Quality	O
of	O
Life	O
Module-Prostate	O
14	O
(QOLM-P14),	O
a	O
trial-specific	O
module	O
developed	O
for	O
this	O
study.	O

An	O
intent-to-treat	O
analysis	O
was	O
used	O
to	O
determine	O
the	O
mean	O
duration	O
of	O
HQL	O
improvement	O
and	O
differences	O
in	O
improvement	O
duration	O
between	O
groups	O
of	O
patients.	O

At	B-Premise
6	I-Premise
weeks,	I-Premise
both	I-Premise
groups	I-Premise
showed	I-Premise
improvement	I-Premise
in	I-Premise
several	I-Premise
HQL	I-Premise
domains,	I-Premise
and	O
only	B-Premise
physical	I-Premise
functioning	I-Premise
and	I-Premise
pain	I-Premise
were	I-Premise
better	I-Premise
in	I-Premise
the	I-Premise
mitoxantrone-plus-prednisone	I-Premise
group	I-Premise
than	I-Premise
in	I-Premise
the	I-Premise
prednisone-alone	I-Premise
group.	I-Premise

After	B-Premise
6	I-Premise
weeks,	I-Premise
patients	I-Premise
taking	I-Premise
prednisone	I-Premise
showed	I-Premise
no	I-Premise
improvement	I-Premise
in	I-Premise
HQL	I-Premise
scores,	I-Premise
whereas	I-Premise
those	I-Premise
taking	I-Premise
mitoxantrone	I-Premise
plus	I-Premise
prednisone	I-Premise
showed	I-Premise
significant	I-Premise
improvements	I-Premise
in	I-Premise
global	I-Premise
quality	I-Premise
of	I-Premise
life	I-Premise
(P	I-Premise
=.009),	I-Premise
four	I-Premise
functioning	I-Premise
domains,	I-Premise
and	I-Premise
nine	I-Premise
symptoms	I-Premise
(.001	I-Premise
<	I-Premise
P	I-Premise
<.	I-Premise
01),	I-Premise
and	O
the	B-Premise
improvement	I-Premise
(>	I-Premise
10	I-Premise
units	I-Premise
on	I-Premise
a	I-Premise
scale	I-Premise
of	I-Premise
0	I-Premise
to100)	I-Premise
lasted	I-Premise
longer	I-Premise
than	I-Premise
in	I-Premise
the	I-Premise
prednisone-alone	I-Premise
group	I-Premise
(.004	I-Premise
<	I-Premise
P	I-Premise
<.05).	I-Premise

The	B-Premise
addition	I-Premise
of	I-Premise
mitoxantrone	I-Premise
to	I-Premise
prednisone	I-Premise
after	I-Premise
failure	I-Premise
of	I-Premise
prednisone	I-Premise
alone	I-Premise
was	I-Premise
associated	I-Premise
with	I-Premise
improvements	I-Premise
in	I-Premise
pain,	I-Premise
pain	I-Premise
impact,	I-Premise
pain	I-Premise
relief,	I-Premise
insomnia,	I-Premise
and	I-Premise
global	I-Premise
quality	I-Premise
of	I-Premise
life	I-Premise
(.001	I-Premise
<	I-Premise
P	I-Premise
<.003).	I-Premise

Treatment	B-Claim
with	I-Claim
mitoxantrone	I-Claim
plus	I-Claim
prednisone	I-Claim
was	I-Claim
associated	I-Claim
with	I-Claim
greater	I-Claim
and	I-Claim
longer-lasting	I-Claim
improvement	I-Claim
in	I-Claim
several	I-Claim
HQL	I-Claim
domains	I-Claim
and	I-Claim
symptoms	I-Claim
than	I-Claim
treatment	I-Claim
with	I-Claim
prednisone	I-Claim
alone.	I-Claim

In	B-Claim
endocrine	I-Claim
therapy	I-Claim
trials	I-Claim
in	I-Claim
advanced	I-Claim
breast	I-Claim
cancer,	I-Claim
patients	I-Claim
with	I-Claim
response	I-Claim
(complete	I-Claim
response/partial	I-Claim
response	I-Claim
[CR/PR])	I-Claim
and	I-Claim
patients	I-Claim
with	I-Claim
stable	I-Claim
disease	I-Claim
for	I-Claim
at	I-Claim
least	I-Claim
6	I-Claim
months	I-Claim
(SD(6m))	I-Claim
have	I-Claim
shown	I-Claim
similar	I-Claim
survival	I-Claim
and	I-Claim
therefore	I-Claim
are	I-Claim
often	I-Claim
defined	I-Claim
as	I-Claim
a	I-Claim
population	I-Claim
with	I-Claim
clinical	I-Claim
benefit	I-Claim
(patients	I-Claim
with	I-Claim
CR/PR	I-Claim
or	I-Claim
SD(6m)).	I-Claim

We	O
evaluated	O
the	O
impact	O
of	O
response	O
and/or	O
clinical	O
benefit	O
on	O
quality	O
of	O
life	O
(QL)	O
in	O
postmenopausal	O
patients	O
under	O
second-line	O
endocrine	O
treatment	O
after	O
failure	O
of	O
tamoxifen.	O

One	O
hundred	O
twenty-eight	O
of	O
177	O
eligible	O
patients	O
of	O
a	O
randomized	O
trial	O
(Swiss	O
Group	O
for	O
Clinical	O
Cancer	O
Research	O
20/90)	O
receiving	O
either	O
formestane	O
(250	O
mg	O
intramuscularly	O
biweekly)	O
or	O
megestrol	O
acetate	O
(160	O
mg	O
orally	O
daily)	O
were	O
analyzed.	O

The	O
baseline	O
characteristics	O
(with	O
the	O
exception	O
of	O
site	O
of	O
metastases)	O
were	O
balanced	O
among	O
patients	O
with	O
CR/PR,	O
SD(6m),	O
and	O
progressive	O
disease	O
(PD).	O

Patients	O
completed	O
QL	O
indicators	O
at	O
baseline	O
and	O
at	O
1,	O
3,	O
5,	O
7,	O
9,	O
and	O
11	O
months.	O

Responders	O
were	O
separately	O
compared	O
with	O
nonresponders	O
(patients	O
with	O
SD(6m)	O
or	O
PD)	O
and	O
with	O
patients	O
with	O
SD(6m),	O
and	O
patients	O
with	O
clinical	O
benefit	O
were	O
compared	O
with	O
patients	O
with	O
PD	O
by	O
analysis	O
of	O
covariance	O
with	O
adjustment	O
for	O
baseline	O
scores.	O

Overall,	O
88%	O
(557	O
of	O
634)	O
of	O
expected	O
QL	O
forms	O
were	O
received.	O

In	O
the	O
comparison	O
of	O
responders	O
versus	O
patients	O
with	O
both	O
SD(6m)	O
and	O
PD,	O
responders	B-Premise
indicated	I-Premise
better	I-Premise
physical	I-Premise
well-being	I-Premise
(P	I-Premise
=.	I-Premise
004)	I-Premise
and	I-Premise
mood	I-Premise
(P	I-Premise
=.02)	I-Premise
at	I-Premise
month	I-Premise
3.	I-Premise

Compared	B-Premise
only	I-Premise
with	I-Premise
patients	I-Premise
with	I-Premise
SD(6m),	I-Premise
responders	I-Premise
showed	I-Premise
no	I-Premise
significant	I-Premise
difference	I-Premise
in	I-Premise
baseline	I-Premise
QL	I-Premise
and	I-Premise
time	I-Premise
to	I-Premise
treatment	I-Premise
failure	I-Premise
(328.5	I-Premise
v	I-Premise
340	I-Premise
days).	I-Premise

While	B-Premise
under	I-Premise
treatment,	I-Premise
responders	I-Premise
reported	I-Premise
significantly	I-Premise
better	I-Premise
physical	I-Premise
well-being	I-Premise
(months	I-Premise
3	I-Premise
to	I-Premise
11),	I-Premise
mood	I-Premise
(months	I-Premise
5	I-Premise
to	I-Premise
11),	I-Premise
coping	I-Premise
(months	I-Premise
5	I-Premise
to	I-Premise
9),	I-Premise
and	I-Premise
appetite	I-Premise
(months	I-Premise
7	I-Premise
to	I-Premise
11)	I-Premise
and	I-Premise
less	I-Premise
dizziness	I-Premise
(month	I-Premise
9)	I-Premise
than	I-Premise
patients	I-Premise
with	I-Premise
SD(6m).	I-Premise

The	B-Premise
changes	I-Premise
between	I-Premise
baseline	I-Premise
and	I-Premise
months	I-Premise
5	I-Premise
and	I-Premise
7,	I-Premise
respectively,	I-Premise
indicated	I-Premise
improvement	I-Premise
in	I-Premise
responders	I-Premise
but	I-Premise
heterogeneous	I-Premise
patterns	I-Premise
in	I-Premise
patients	I-Premise
with	I-Premise
SD(6m).	I-Premise

Although	B-Premise
the	I-Premise
CR/PR	I-Premise
and	I-Premise
SD(6m)	I-Premise
groups	I-Premise
had	I-Premise
similar	I-Premise
times	I-Premise
to	I-Premise
treatment	I-Premise
failure,	I-Premise
patients	B-Claim
with	I-Claim
CR/PR	I-Claim
reported	I-Claim
better	I-Claim
QL,	I-Claim
suggesting	I-Claim
more	I-Claim
beneficial	I-Claim
response	I-Claim
to	I-Claim
second-line	I-Claim
endocrine	I-Claim
treatment.	I-Claim

Patients'	O
subjective	O
perspective	O
should	O
be	O
taken	O
into	O
account	O
in	O
this	O
mainly	O
palliative	O
setting.	O

Future	O
trials	O
should	O
be	O
designed	O
so	O
that	O
the	O
CR/PR	O
and	O
SD(6m)	O
groups	O
are	O
investigated	O
separately.	O

Treatment	B-Claim
with	I-Claim
cisplatin-based	I-Claim
chemotherapy	I-Claim
provides	I-Claim
a	I-Claim
modest	I-Claim
survival	I-Claim
advantage	I-Claim
over	I-Claim
supportive	I-Claim
care	I-Claim
alone	I-Claim
in	I-Claim
advanced	I-Claim
non-small-cell	I-Claim
lung	I-Claim
cancer	I-Claim
(NSCLC).	I-Claim

To	O
determine	O
whether	O
a	O
new	O
agent,	O
paclitaxel,	O
would	O
further	O
improve	O
survival	O
in	O
NSCLC,	O
the	O
Eastern	O
Cooperative	O
Oncology	O
Group	O
conducted	O
a	O
randomized	O
trial	O
comparing	O
paclitaxel	O
plus	O
cisplatin	O
to	O
a	O
standard	O
chemotherapy	O
regimen	O
consisting	O
of	O
cisplatin	O
and	O
etoposide.	O

The	O
study	O
was	O
carried	O
out	O
by	O
a	O
multi-institutional	O
cooperative	O
group	O
in	O
chemotherapy-naive	O
stage	O
IIIB	O
to	O
IV	O
NSCLC	O
patients	O
randomized	O
to	O
receive	O
paclitaxel	O
plus	O
cisplatin	O
or	O
etoposide	O
plus	O
cisplatin.	O

Paclitaxel	O
was	O
administered	O
at	O
two	O
different	O
dose	O
levels	O
(135	O
mg/m(2)	O
and	O
250	O
mg/m(2)),	O
and	O
etoposide	O
was	O
given	O
at	O
a	O
dose	O
of	O
100	O
mg/m(2)	O
daily	O
on	O
days	O
1	O
to	O
3.	O

Each	O
regimen	O
was	O
repeated	O
every	O
21	O
days	O
and	O
each	O
included	O
cisplatin	O
(75	O
mg/m(2)).	O

The	O
characteristics	O
of	O
the	O
599	O
patients	O
were	O
well-balanced	O
across	O
the	O
three	O
treatment	O
groups.	O

Superior	B-Premise
survival	I-Premise
was	I-Premise
observed	I-Premise
with	I-Premise
the	I-Premise
combined	I-Premise
paclitaxel	I-Premise
regimens	I-Premise
(median	I-Premise
survival	I-Premise
time,	I-Premise
9.9	I-Premise
months;	I-Premise
1-year	I-Premise
survival	I-Premise
rate,	I-Premise
38.9%)	I-Premise
compared	I-Premise
with	I-Premise
etoposide	I-Premise
plus	I-Premise
cisplatin	I-Premise
(median	I-Premise
survival	I-Premise
time,	I-Premise
7.6	I-Premise
months;	I-Premise
1-year	I-Premise
survival	I-Premise
rate,	I-Premise
31.8%;	I-Premise
P	I-Premise
=.	I-Premise
048).	I-Premise

Comparing	B-Premise
survival	I-Premise
for	I-Premise
the	I-Premise
two	I-Premise
dose	I-Premise
levels	I-Premise
of	I-Premise
paclitaxel	I-Premise
revealed	I-Premise
no	I-Premise
significant	I-Premise
