El O
hirsutismo B-Claim
facial I-Claim
es I-Claim
uno I-Claim
de I-Claim
los I-Claim
rasgos I-Claim
característicos I-Claim
del I-Claim
síndrome I-Claim
de I-Claim
ovario I-Claim
poliquístico I-Claim
(SOP), I-Claim
y I-Claim
esto I-Claim
puede I-Claim
conducir I-Claim
a I-Claim
altos I-Claim
niveles I-Claim
de I-Claim
depresión I-Claim
y I-Claim
ansiedad. I-Claim

Evaluar O
el O
impacto O
del O
tratamiento O
con O
láser O
en O
la O
gravedad O
del O
hirsutismo O
facial O
y O
en O
la O
morbilidad O
psicológica O
en O
mujeres O
con O
SOP. O

Se O
realizó O
un O
ensayo O
controlado O
aleatorizado O
de O
cinco O
tratamientos O
de O
alta O
influencia O
(intervención) O
frente O
a O
cinco O
tratamientos O
de O
baja O
influencia O
(control) O
durante O
6 O
meses O
en O
un O
hospital O
docente O
del O
Servicio O
Nacional O
de O
Salud. O

Los O
sujetos O
fueron O
88 O
mujeres O
con O
hirsutismo O
facial O
debido O
al O
SOP O
reclutadas O
de O
clínicas O
ambulatorias O
de O
hospitales O
y O
un O
grupo O
de O
apoyo O
al O
paciente O
en O
2001-2002. O

Los O
principales O
resultados O
fueron O
la O
gravedad O
autoinformada O
del O
vello O
facial O
(medido O
en O
una O
escala O
de O
1 O
a O
10), O
la O
depresión, O
la O
ansiedad O
(medida O
en O
la O
Escala O
de O
Ansiedad O
y O
Depresión O
Hospitalaria) O
y O
la O
calidad O
de O
vida O
(medida O
en O
el O
WHOQOL-BREF). O

La O
gravedad B-Premise
autoinformada I-Premise
del I-Premise
vello I-Premise
facial I-Premise
en I-Premise
el I-Premise
grupo I-Premise
de I-Premise
intervención I-Premise
(n I-Premise
= I-Premise
51 I-Premise
) I-Premise
disminuyó I-Premise
de I-Premise
7,3 I-Premise
a I-Premise
3,6 I-Premise
durante I-Premise
el I-Premise
período I-Premise
de I-Premise
estudio I-Premise
de I-Premise
6 I-Premise
meses; I-Premise
para I-Premise
el I-Premise
grupo I-Premise
de I-Premise
control I-Premise
(n I-Premise
= I-Premise
37), I-Premise
las I-Premise
puntuaciones I-Premise
correspondientes I-Premise
fueron I-Premise
de I-Premise
7,1 I-Premise
y I-Premise
6,1. I-Premise

El B-Premise
cambio I-Premise
fue I-Premise
significativamente I-Premise
mayor I-Premise
en I-Premise
el I-Premise
grupo I-Premise
de I-Premise
intervención I-Premise
[ I-Premise
ancova I-Premise
F I-Premise
( I-Premise
(1,83 I-Premise
) I-Premise
= I-Premise
24,5, I-Premise
P I-Premise
< I-Premise
0,05 I-Premise
]. I-Premise

El O
tiempo B-Premise
autoinformado I-Premise
dedicado I-Premise
a I-Premise
la I-Premise
depilación I-Premise
disminuyó I-Premise
de I-Premise
112 I-Premise
a I-Premise
21 I-Premise
minutos I-Premise
por I-Premise
semana I-Premise
en I-Premise
el I-Premise
grupo I-Premise
de I-Premise
intervención I-Premise
y I-Premise
de I-Premise
92 I-Premise
a I-Premise
56 I-Premise
minutos I-Premise
en I-Premise
el I-Premise
grupo I-Premise
de I-Premise
control I-Premise
[ I-Premise
F I-Premise
( I-Premise
(1,80) I-Premise
) I-Premise
= I-Premise
10,2, I-Premise
P I-Premise
< I-Premise
/= I-Premise
0,05 I-Premise
]. I-Premise

Las B-Premise
puntuaciones I-Premise
medias I-Premise
de I-Premise
depresión I-Premise
disminuyeron I-Premise
de I-Premise
6,7 I-Premise
a I-Premise
3,6 I-Premise
en I-Premise
el I-Premise
grupo I-Premise
de I-Premise
intervención, I-Premise
en I-Premise
comparación I-Premise
con I-Premise
6,1 I-Premise
a I-Premise
5,4 I-Premise
en I-Premise
el I-Premise
grupo I-Premise
de I-Premise
control I-Premise
[ I-Premise
F I-Premise
( I-Premise
(1,83 I-Premise
) I-Premise
= I-Premise
14,7, I-Premise
P I-Premise
< I-Premise
0,05 I-Premise
]. I-Premise

Se O
observó B-Premise
un I-Premise
cambio I-Premise
similar I-Premise
para I-Premise
las I-Premise
puntuaciones I-Premise
medias I-Premise
de I-Premise
ansiedad: I-Premise
intervención I-Premise
de I-Premise
11,1 I-Premise
a I-Premise
8,2, I-Premise
control I-Premise
de I-Premise
9,6 I-Premise
a I-Premise
9,3 I-Premise
[ I-Premise
F I-Premise
(1,84 I-Premise
) I-Premise
= I-Premise
17,8, I-Premise
P I-Premise
< I-Premise
0,05 I-Premise
]. I-Premise

La O
calidad B-Premise
de I-Premise
vida I-Premise
psicológica I-Premise
también I-Premise
mejoró I-Premise
más I-Premise
en I-Premise
el I-Premise
grupo I-Premise
de I-Premise
intervención, I-Premise
de I-Premise
49,6 I-Premise
a I-Premise
61,2 I-Premise
frente I-Premise
a I-Premise
50,1 I-Premise
a I-Premise
51,5 I-Premise
en I-Premise
el I-Premise
grupo I-Premise
de I-Premise
control I-Premise
[ I-Premise
F I-Premise
( I-Premise
(1,84 I-Premise
) I-Premise
= I-Premise
10,9, I-Premise
P I-Premise
< I-Premise
0,05 I-Premise
]. I-Premise

El O
tratamiento B-Claim
con I-Claim
láser I-Claim
pareció I-Claim
