El B-Claim
hirsutismo I-Claim
facial I-Claim
es I-Claim
una I-Claim
de I-Claim
las I-Claim
características I-Claim
del I-Claim
síndrome I-Claim
de I-Claim
ovario I-Claim
poliquístico I-Claim
(SOP), I-Claim
y I-Claim
esto I-Claim
puede I-Claim
llevar I-Claim
a I-Claim
altos I-Claim
niveles I-Claim
de I-Claim
depresión I-Claim
y I-Claim
ansiedad. I-Claim

Evaluar O
el O
impacto O
del O
tratamiento O
con O
láser O
en O
la O
gravedad O
del O
hirsutismo O
facial O
y O
en O
la O
morbilidad O
psicológica O
en O
mujeres O
con O
SOP. O

Se O
realizó O
un O
ensayo O
controlado O
aleatorizado O
de O
cinco O
tratamientos O
de O
alta O
influencia O
(intervención) O
frente O
a O
cinco O
tratamientos O
de O
baja O
influencia O
(control) O
durante O
6 O
meses O
en O
un O
hospital O
docente O
del O
Servicio O
Nacional O
de O

Los O
sujetos O
fueron O
88 O
mujeres O
con O
hirsutismo O
facial O
debido O
a O
SOP O
reclutadas O
de O
clínicas O
ambulatorias O
de O
hospitales O
y O
un O
grupo O
de O
apoyo O
al O
paciente O
en O
2001-2002. O

Los O
principales O
resultados O
fueron O
la O
gravedad O
autoinformada O
de O
vello O
facial O
(medido O
en O
una O
escala O
de O
1-10), O
depresión, O
ansiedad O
(medido O
en O
la O
Escala O
de O
Ansiedad O
y O
Depresión O
Hospitalaria) O

La B-Premise
gravedad I-Premise
autoinformada I-Premise
de I-Premise
la I-Premise
aparición I-Premise
de I-Premise
vello I-Premise
facial I-Premise
en I-Premise
el I-Premise
grupo I-Premise
de I-Premise
intervención I-Premise
(n I-Premise
= I-Premise
51 I-Premise
) I-Premise
disminuyó I-Premise
de I-Premise
7,3 I-Premise
a I-Premise
3,6 I-Premise
durante I-Premise
el I-Premise
período I-Premise
de I-Premise
estudio I-Premise
de I-Premise
6 I-Premise
meses I-Premise
";" I-Premise
para I-Premise
el I-Premise
grupo I-Premise

El B-Premise
cambio I-Premise
fue I-Premise
significativamente I-Premise
mayor I-Premise
en I-Premise
el I-Premise
grupo I-Premise
de I-Premise
intervención I-Premise
[ I-Premise
ancova I-Premise
F I-Premise
( I-Premise
(1,83 I-Premise
) I-Premise
) I-Premise
= I-Premise
24,5, I-Premise
P I-Premise
< I-Premise
0,05 I-Premise
]. I-Premise

El B-Premise
tiempo I-Premise
autoinformado I-Premise
dedicado I-Premise
a I-Premise
la I-Premise
depilación I-Premise
disminuyó I-Premise
de I-Premise
112 I-Premise
a I-Premise
21 I-Premise
minutos I-Premise
por I-Premise
semana I-Premise
en I-Premise
el I-Premise
grupo I-Premise
de I-Premise
intervención I-Premise
y I-Premise
de I-Premise
92 I-Premise
a I-Premise
56 I-Premise
minutos I-Premise
en I-Premise
el I-Premise
grupo I-Premise
de I-Premise
control I-Premise
[ I-Premise
F I-Premise
( I-Premise
(1,80) I-Premise
) I-Premise
= I-Premise

Las B-Premise
puntuaciones I-Premise
medias I-Premise
de I-Premise
depresión I-Premise
disminuyeron I-Premise
de I-Premise
6,7 I-Premise
a I-Premise
3,6 I-Premise
en I-Premise
el I-Premise
grupo I-Premise
de I-Premise
intervención, I-Premise
en I-Premise
comparación I-Premise
con I-Premise
6,1 I-Premise
a I-Premise
5,4 I-Premise
en I-Premise
el I-Premise
grupo I-Premise
de I-Premise
control I-Premise
[ I-Premise
F I-Premise
( I-Premise
(1,83 I-Premise
) I-Premise
= I-Premise
14,7, I-Premise
P I-Premise

Se B-Premise
observó I-Premise
un I-Premise
cambio I-Premise
similar I-Premise
en I-Premise
las I-Premise
puntuaciones I-Premise
medias I-Premise
de I-Premise
ansiedad: I-Premise
intervención I-Premise
de I-Premise
11,1 I-Premise
a I-Premise
8,2, I-Premise
control I-Premise
de I-Premise
9,6 I-Premise
a I-Premise
9,3 I-Premise
[ I-Premise
F I-Premise
( I-Premise
(1,84) I-Premise
) I-Premise
= I-Premise
17,8, I-Premise
P I-Premise
< I-Premise
0,05 I-Premise
]. I-Premise

La B-Premise
calidad I-Premise
de I-Premise
vida I-Premise
psicológica I-Premise
también I-Premise
mejoró I-Premise
más I-Premise
en I-Premise
el I-Premise
grupo I-Premise
de I-Premise
intervención, I-Premise
de I-Premise
49,6 I-Premise
a I-Premise
61,2 I-Premise
frente I-Premise
a I-Premise
50,1 I-Premise
a I-Premise
51,5 I-Premise
en I-Premise
el I-Premise
grupo I-Premise
de I-Premise
control I-Premise
[ I-Premise
F I-Premise
( I-Premise
(1,84 I-Premise
) I-Premise
) I-Premise
= I-Premise
10,9, I-Premise
P I-Premise

El B-Claim
tratamiento I-Claim
con I-Claim
láser I-Claim
parecía I-Claim
reducir I-Claim
la I-Claim
gravedad I-Claim
de I-Claim
los I-Claim
pelos I-Claim
faciales I-Claim
y I-Claim
el I-Claim
tiempo I-Claim
dedicado I-Claim
a I-Claim
la I-Claim
depilación, I-Claim
así I-Claim
como I-Claim
aliviar I-Claim
la I-Claim
depresión I-Claim
y I-Claim
la I-Claim
ansiedad I-Claim
en I-Claim
las I-Claim
mujeres I-Claim
con I-Claim
SOP. I-Claim

Estos B-Claim
hallazgos I-Claim
sugieren I-Claim
que I-Claim
se I-Claim
deberían I-Claim
considerar I-Claim
formas I-Claim
de I-Claim
hacer I-Claim
este I-Claim
método I-Claim
de I-Claim
depilación I-Claim
más I-Claim
accesible I-Claim
a I-Claim
las I-Claim
mujeres I-Claim
con I-Claim
hirsutismo I-Claim
facial. I-Claim

A B-Claim
pesar I-Claim
de I-Claim
la I-Claim
considerable I-Claim
mejora I-Claim
en I-Claim
el I-Claim
tratamiento I-Claim
del I-Claim
cáncer I-Claim
de I-Claim
ovario I-Claim
avanzado, I-Claim
la I-Claim
optimización I-Claim
de I-Claim
la I-Claim
eficacia I-Claim
y I-Claim
la I-Claim
tolerabilidad I-Claim
sigue I-Claim
siendo I-Claim
un I-Claim
tema I-Claim
importante. I-Claim

Por O
lo O
tanto, O
realizamos O
un O
ensayo O
aleatorizado O
de O
no O
inferioridad O
de O
fase O
III O
comparando O
paclitaxel O
más O
cisplatino O
(PT) O
con O
paclitaxel O
más O
carboplatino O
(TC) O
en O
pacientes O
con O
cán O

Un O
total O
de O
798 O
pacientes O
con O
la O
Federación O
Internacional O
de O
Ginecología O
y O
Obstetricia O
en O
estadio O
IIB-IV O
fueron O
asignados O
al O
azar O
para O
recibir O
seis O
ciclos O
de O
PT O
o O
TC O
a O
intervalos O
de O
3 O
semanas O

El O
criterio O
de O
valoración O
primario O
fue O
la O
proporción O
de O
pacientes O
sin O
progresión O
a O
los O
2 O
años. O

Los O
criterios O
secundarios O
incluían O
toxicidad, O
respuesta O
al O
tratamiento, O
calidad O
de O
vida O
y O
tiempo O
de O
supervivencia O
total O
y O
sin O
progresión. O

La O
calidad O
de O
vida O
se O
evaluó O
utilizando O
el O
cuestionario O
de O
calidad O
de O
vida O
(QLQ) O
-C30 O
de O
la O
Organización O
Europea O
para O
la O
Investigación O
y O
el O
Tratamiento O
del O
Cáncer, O
versión O
2.0. O

Las O
curvas O
de O
supervivencia O
se O
calcularon O
utilizando O
el O
método O
Kaplan-Meier, O
y O
los O
ratios O
de O
riesgo O
se O
estimaron O
utilizando O
el O
modelo O
de O
riesgos O
proporcionales O
de O
Cox. O

La B-Premise
proporción I-Premise
de I-Premise
pacientes I-Premise
sin I-Premise
progresión I-Premise
a I-Premise
los I-Premise
2 I-Premise
años I-Premise
no I-Premise
fue I-Premise
estadísticamente I-Premise
significativamente I-Premise
diferente I-Premise
entre I-Premise
los I-Premise
dos I-Premise
brazos I-Premise
de I-Premise
tratamiento I-Premise
(40,0% I-Premise
para I-Premise
PT I-Premise
frente I-Premise
a I-Premise
37, I-Premise
5% I-Premise
para I-Premise
TC, I-Premise
diferencia I-Premise
= I-Premise
2, I-Premise
5%, I-Premise
intervalo I-Premise
de I-Premise
confianza I-Premise

La B-Premise
mediana I-Premise
de I-Premise
tiempo I-Premise
de I-Premise
supervivencia I-Premise
libre I-Premise
de I-Premise
progresión I-Premise
en I-Premise
el I-Premise
grupo I-Premise
de I-Premise
tratamiento I-Premise
con I-Premise
anticonceptivos I-Premise
(17,2 I-Premise
meses, I-Premise
IC I-Premise
del I-Premise
95% I-Premise
= I-Premise
15,2 I-Premise
a I-Premise
19,3 I-Premise
meses) I-Premise
y I-Premise
el I-Premise
brazo I-Premise
de I-Premise
PT I-Premise
( I-Premise
19,1 I-Premise
meses I-Premise
, I-Premise
IC I-Premise
del I-Premise
95 I-Premise
% I-Premise
= I-Premise
16,7 I-Premise
a I-Premise
21,5 I-Premise
meses I-Premise
) I-Premise
tampoco I-Premise
fueron I-Premise
estadísticamente I-Premise
significativos I-Premise
; I-Premise
lo B-Premise
mismo I-Premise
ocurrió I-Premise
con I-Premise
la I-Premise
mediana I-Premise
del I-Premise
tiempo I-Premise
de I-Premise
supervivencia I-Premise
global I-Premise
( I-Premise
43,3 I-Premise
meses I-Premise
, I-Premise
IC I-Premise
del I-Premise
95 I-Premise
% I-Premise
= I-Premise
37,2 I-Premise
a I-Premise
47,8 I-Premise
meses I-Premise
frente I-Premise
a I-Premise
44,1 I-Premise
meses I-Premise
, I-Premise
IC I-Premise
del I-Premise
95 I-Premise
% I-Premise
= I-Premise
40,2 I-Premise
a I-Premise
49,4 I-Premise
meses I-Premise
, I-Premise
para I-Premise
los I-Premise
brazos I-Premise
de I-Premise
CT I-Premise
y I-Premise
PT I-Premise
, I-Premise
respectivamente I-Premise
) I-Premise
. I-Premise

El B-Premise
régimen I-Premise
de I-Premise
CT I-Premise
se I-Premise
asoció I-Premise
con I-Premise
una I-Premise
mayor I-Premise
frecuencia I-Premise
de I-Premise
